title_clean,first_sentence
get off my head,when i awoke one morning
sleeping loud,sleeping loud is small
a cat on my head,when i awoke one morning a cat was on my head
a heart like yours,i wish i had a heart like yours
carter cant do rimse,theres nothing that says carter can't rime
natures life,when i look up
my cat blitzen,who is cute ? blitzen
bunnies,bunnies are cute and nice
the boy and the bird,when i awoke one morning a chick was on my head
pot of gold,i have some gold
sorry,im sorry for pain
the giant puddle,i found a giant puddle
valentines love,valentine's day is filled with love and care
in the hole,one day i fell in a hole
rainbow river,back on the first day
rain,rain
a wish,when i awoke one morning
mrs chandra,mrs
friendship,it is the relation between two hands
the cullfull crayons,i have cullfull crayons
snakes,hatches from an egg desert
skate,skate is my favorite game to play with my brother
bike,i ride a bike in the park and in my house
pizza,almost every afternoon i eat pizzas with a baboon
pig,when i awoke one morning
a big fat monster,one day i felt something on my head
mary couldnt rollerblade,mary couldn't rollerblade
family,family is what everyone has
snow,snow
a bear in my chair,one day i woke up and saw a bear in my chair
penguins,penguins step on ice
lisien to that sound,roof roof what did that sound comed from said kala
ape like a shape,i saw a shape
jiggily jello,hello jiggily jaggily jello colored green
glue in my hair,i got glue in my hair
lovely song,i am very lovely
42 miles away,in a place 42 miles away
very special daddy,you met mummy in a club one very late night
dogs,dogs are very fun
the horn,one day i got a horn
bubbles,bubbles are big
the night i woke up,i woke up and i was on a turkey's head
this internet is slow,this internet is very slow
happy,me my nose is white
bee,it stings you it is scary black and yellow
cow,i see gass
the bugs,bugs are cool
the alligator story,when i awoke one morning
names,names are all different
the man who swallowed a stick,there was a man who ate a stick
a windy walk,out walking my dog it was really
my cat is a hog,my cat is a hog
the blooming flower in the moon ,there was a moon
the silly knight,that silly knight jumped from a ten foot wall
cake,i bake cake cake you have to make
champion,champion is very big
cookies,almost every afternoon i eat cookies with a baboon
dog,when i awoke one morning a dog was on my head
get off bird,when i a woke one morning
tomatoes,almost every afternoon i eat tomatoes with a spoon
who is it,i woke up today
matthew and andrew,matthew and andrew
the funny cake,i blow the candles on the cake
flies,i like flies
the birds,i saw some birds
halloween,it was halloween
the sun,the sun is a ball
angel,if i were an angel id be your protector
today,today i saw a pig playing cards
kennedy,kennedy is my name
monkeys,monkeys;are silly monkeys are fun
a bad day,every day makes me say hello people
cats and rats,cats and rats can be kind like a bat
morning,when i awoke one morning
moms,moms are nice
a chetah on my head,when i awoke one morning
i wish,i wish i had some candy
hurry mr mime,hurry mr
bees,i like bees
a pretty bluebird,when i awoke one rainy morning
new s hoes,new new shoes
hello,hello howare you i'm fine you too
the american flag,i love our flag it flys so high in the sky
thebrick,i found a brick
cooling off,first rain 
my daddy,my daddy's a builder
my sister nuala,my sister's like a queen
my mummy,my mummy's on holiday
my dog,dog log fog hog frog mog
eating,kindly
shoes,suede or leather
my nest is on your head,when i awoke one morning
a dog,once there was a dog
lollipops,lollipop lollipop lollipop yeah
oh gosh sosh,i have a three legged cat
water falls,water falls are cool
hugging hat,hat hugging my hear in my house under my hair band
my cat who loves rats,my cat loves rats he alway chases them
fly away,when i awoke one morning a stork was on my head
the big black banana,i have a big black banana that i would like to eat
ice ceam yummy,almost every afternoon
my dog and i,i am a little girl
star star,star
once there was a bluebird,once there was a bluebird
cherry wo ho,bears like berries
happy happy me,i like trees
myself,my eyes are blue
easter,easter
love,oh love
max had a thorax,max had a thorax
love,i love me
if i were in time,if i were in time i would chime ding dong bong
snow,there is some snow on the ground
the grumpy day,it's day
a fox on my head,when i awoke one morning
the cat is on the street,one day cat went out in the street
dogs dogs dogs,dogs
bees,bees get polem from flowers
friends,i love my friends
drawing,i drew and drew until my pictures flew and flew
jerry the giraffe,when i awoke one morning 
grapeaccoon,my favorite pet is a grapeaccoon
weather,weather can be cold
mckenzie,mckenzie's hair is yellow and brown
im a little cupcake,i'm a little cupcake
i will always love you,i will always love you
you,i stood near the window
cat on my head,when i woke up this morning
kids,kids are cool kids jump in a pool
winter is here,winter is here
you,i love you as you love me
something is on my head,one morning i woke up with a griaffe on my head
the danielle and martin poem,there were once two kids
chance,a horse called chance
pie,the pie
foxs box,i have a fox who like to box
a seed,i planted a seed
a cat on my head,when i awoke one morning
friends,friends can laugh
a mouse on my head,when i awoke one morning
potato chips and foods,almost every afternoon
kassey,kassey's eyes are green
bears,they are so so fat
she gets things,once there was a girl named maya
the apple,a apple is juisy
a pig on my head,when i awoke one morning
the fly on my head,when i awoke one morning
invisable boy,can u see the inviable boy? i can
me,me my nose is black
cloud,caring generous fun funny mr
i cant do it,sad angry mean hurting i can't do it
stork fall down and go boom,when i awoke one morning
my mothers car,my mother drives her family car
the mouse,when i awoke one morning a mouse was on my head
spring acrostic,spring buds bloom
spring,smells like chocolate
nose is like a rose,roses are red and my nose is too
train,a train came zooming by
my little sister,little sisters can be lots of trouble
the weasel,the weasel is hunting for a single clue
kittens,kittens are furry
doggy world,when i awoke one morning
the earth,the earth is a special place
my town,i love my town
1 black night,one night i saw a black cat
yummy honey,every morning right at five
my hotdog,once i had a hotdog
i fly by,i fly in the sky
caterpillar,crawling
the cat the hat and the rat,a cat sat in a hat
the stork and the dog,when i awoke one morning
pig,when i awoke one morning
good things,one day
my mom,i love my mom and she loves me 
my cat,my cat is a seal point siamese
noodles,almost every afternoon
popcorn popcorn,i like popcorn 1
the tiger,when i awoke one morning a tiger was on my head
our backyard,a fun place
candy,andy loves candy andy eats candy andy craves candy
rainy day,strom
winter time,often days are not the same
pig,when i awoke one morning
legos,legos legos legos that is what i am made of
deep thought,in the hedgerow of love
land of promise,\t\t beautiful space of mother earth
the crazy brother,my brother can run he can run on a car
bees knees,there once was some bees who wad some knees
cats like hats,cats like hats
bedtime,i am going to bed
a funny mom,my mom is funny
talk about love,from my hart
it is christmas,i've waited so long for christmas
my mom,my mom is the best
morning,this morning i'm mourning and courning around
the fat cat,i have a fat cat that wears a hat
eating bananas,early in the morning i eat bananas with my prunes
popcorn popcorn,popcorn is our favorite snack
heavy hearted,yes he hurt me
monkeys,monkeys tall
a bee,when i wake up one morning a bee was on my head
the bug,the bug hugged
stream of water,the water is cler
halloween,halloween
i love you,i love you
the dumdrop,dumdrops are gumdrops
essence of love,to fall in love
princesses all over the world,you tell me
bubbles,bubbles are there bubbles are here
i think of you,love me or hate me
i love only you,i will miss you
a falcon on my head,when i awoke one morning a falcon was on my head
cward,god why is c-ward not tall
the swollen feet,she
green,kelly green
i went to the moon,run up to space
friends,friendships are important to me
flowers,roses are red
semore h,semore 
bigger then,bigger then a giant's foot
the rhinoceros,one day i woke up
onion days,i lived
the net,i saw a net
fall,leaves
halloween,halloween halloween
my cricket,when i play bat ball
my cricket,when i play bat ball
10000000 apples,when i awoke one morning a stork was on my head
who are you ,oh
bears,all bears like nature
wow,the sun shines and you listen to the morning birds
lost,&gt;i kept my feet on this descent ground
her,i dont know where she dwell
an elephant on my head,when i awoke one morning
money madness,money madness money drive you mad
the bad giant,once there was a bad giant
friendship,once my friend and me walked
its you,i wanted to shine in the world of thine
poetry,po
grace,so you never knew love
looks like rain,a sun is yellow
my dram boy,this boy is cute
a lion on my head,when i awoke one morning
twirlamouse,twirls all night
you are good,a dedication to dad
i really like popcorn,popcorn is sweet
pig,when i awoke one morning a pig was on my head
chicken,almost every afternoon
bears,my bear is a clown
bears,two cubs like to play
my poem,walk to the store
bright dazzling light,as i got up early in the morning
my ball,i have a red ball
my family loves me,my family loves me very much
goodbye poems true loves grasp,holding my hand
what a sight,a beautiful sight
spring is fun,spring is fun
the cracked wall,i saw a cracked wall
dad,dad the sweetest word in the world
all about me,i am as sweet as maisy
pig,when i awoke one morning
cat,when i awoke one morning
cake,almost every day
day dream,you broke into my dream
oh man,man
puppy,i always wanted a puppy and now i have one
craze,when i eat a craze
my na is joe,my name is joe
me,my teeth are made of gold
a koala bear on my head,when i awoke one morning
smoile,smoile or smile
happiness,happiness is a mystery when it leaves
readers,quiet
spelling bee,i got stung by a bee i won't tell you where
bananas,almost every week
weasels funny sleeping places,when i awoke one morning
birdful help,when i awoke one morning
sunset,in the morning
life dedicated to you,loving you is the most classic way
the bad winter,wind
my dad is funny,dad is funny
me,i love me 
the little blue jay,someties birds come to my house
leaving steps,i hear the footsteps
sea shell,my friend gave me a sea shell
the cat and the rat,the cat was chasing the rat
why did you paint on me,why did you paint on me? it's not nice
rainbows,rainbows are a lot of fun
snow,snow snow
my dog,i have a dog he is cute
my frog who leaped,i have a frog 
you,you and i are ment to be
flowers,roses are red
summertime,summertime is fun
school,school is cool
green,green is so cool i like green
the sack,i'm mack and i live in a sack
happy mothers day,it is a nice day for we should go out and play
its spring,flowers bloom
hi,hi is what everybody says
what is that,what is that is a dinosour aaaaaaaaaaah
on the beach,the beach is lovely
the chair,i love my chair i take it everywhere morning
just on the chair,my chair was there i pulled its hair
puppy blues,belly ache again
pebble,what is hard and smooth? a pebble
almost every afternoon,almost every afternoon
the red eyed air hog,there the red eyed air hog with the pouring rain
the dog,the dog sat on a log to look at a frog
tuckers dog,who sleeps on my floor? indi
popcorn,popcorn is buttery and yummy and tastey
food,almost every afternoon
my best friends,my first best friend is little moo
if death calls me,if death calls me at some unknown night
flowers,a
a rose,a rose
only one mother,poem no: 1 there are hundreds of stars
sparrow,sparrow
oh rain,two clouds join together
the dog,the dog in fog my dog plays in the bog
horses,horse's are good at course's
a dog on my head,when i awoke one morning
personal grief,nobody knows about my pain
birdhouse for sale,this birdhouse is 11x8
ducks,duck in the water
bears,bears go in water
smelly shoes,every day when i go out
a dog on my head,when i awoke one morning
william,louder than my choir at school
math,math is fun because there is a game called ixl
crayons,i boght crayons and drew and drew
crayons,i bought crayons and drew and drew
i ate my sister,one day i was very very hungry
the bloom flower,one day i saw a flower
me,i don't like me anymore
my wiggly tooth,my loose tooth won't come out
my desk,my desk is a clean desk
a giraffe on my head,when i awoke one morning
the cat,there once was a cat
my dog bluffy,i have a dog his name is bluffy
bio poem,martin luther king jr
my little sister,my little sister
london is running,london is running
lizard,hey
bad times,i was in head start
playing outside,i am a boy
when i was little,when i was little
i am abby,leader
the maze,i am stuck in this maze
math,memorizing amazing thinking hard
driving,sometimes when i drive
stars,stars glimmer in the sky
fish,i have a fish named dish
bananas,in the morning i eat bananas for breakfast
my mother,she was born on december
the maggic rabbit,when i woke one moreing i see a rabbit 
dogs,dogs furry
summer rules,summer rules
on the road,on the road
boys and girls,boys are neat
the dog under dog,i was walking not a sound to be heird
sun,i like the sun
done,i like to be done
pokemon,pokemon are so cool they are playful
the monkey who dance,once a monkey danced a very silly dance 
sleeping and painting,almost every afternoon
knights,i like knights who have lots of fights
quads,quads black
dog,wild
animals,animals love people and people love animals
the fat worm,the worm in the apple squirmed around up and down
plip plop plip plop,plip
i run,almost every day at 2
soccer,i play soccer soccer
bed,the bed is looking for my head
a wet day,the rain is pouring
my chest,my chest 
silly dog hairy dog,my dog is silly
the colors of the sky,blue is when it rains in the sky
red dog in the fog,there is a red dog in the fog
i wish,i wish i can be a shark
nature,i've always been interested in nature
me,i am like a bird in the sky
bats,all bats can do exersizes
a monster in my room,there's a monster in my room
my angel,my angel is a spirit to protect me when i fear
monkey cake,monkey cake monkey cake
monkey cream,monkey cream monkey cream if i don't get some
paramus 2h,pizza is good because it has cheese
flekering lights,i see lights flashing
mr nobody,i know a funny little man
small dog,a pretty
playing jak ii,good guys: jak
poem,i am thinking of a poem
rain,rain ate ice cream and noodles
louder poem,louder than a stampede
bubble,i am a bubble that does not want to be popped
haiku summer,people wear short sleeves
the boy i saw,the boy i saw was a big boy
super daddy long legs,you are great yellow skin you are so long
the sun,the sun is shiny on my eye
summer,summer is a bummer because you get a little dumber
spring,it's spring
dinolarry,my name is dinolarry
the crazy snail,when i awoke one morning
the fat cat,the fat cat was in a hat
hot fudge sunday,there is hot fudge on sunday
daffodils,daffodils are such a treat daffodils are so neat
the pet,i am going to get a pet 
haiku rain,i'm scared of the rain
the guy named nelly,i know a kid named nelly
potato chips at six,almost every afternoon i eat potato chips at six
what is it,this thing is something shiny
a dark scary night,a night with thunder you will see
popcorn,popcorn crunchy
april showers,april showers
a chimp named ted,when i awoke one morning
applesauce and tatertots,applesauce and tatertots just put them into pots
the pizza the size of the sun,i saw a pizza the size of the sun
my fat cat,she likes to eat
fuzzy face,she is gray
sparkly snowman,the snowman is so sparkly and white
check me out,sitting and wating
my dog sam,my dog's name is sam
my 2 dogs,chevy and kirby
leprechaun on skis 2d,there was a little leprechaun named lee
pizza 2d,pizza is delicious
so blessed by youmom,a mother who always cares
my sisters turning purple,my sister's turning purple i don't now what to do
puppy,puppy energetic
candy,candy is so good because it tastes good
i wish i had a horse,i wish i had a horse
sunny days,sunny days are days of love
super dragon fly,super dragon you are my big protector
the pool,the pool is the greatest
the bay,as my family and i went down to the bay
the hamster who saved christmas,every cool and stormy night
alisons sweet breakfast,oh breakfast
it happened to me one day,when i awoke one morning
dog,dog black
socer ball,a socer ball hit me in my tummy ouch
my friend,my friend is weird and so am i
winter days,winter days come and go
pizza,pizza
how to erase your work,if you want to erase your work
paisley,paisley is my friend
a toy car,one day
haiku stars,twinkling in the night
colors,red is the color of watermelon
kitten,kitten soft
winter,snow is falling and icicles are melting now
a stork,when i awoke one morning
money,money can't buy everything
the stork was on my head,i awoke in the morning and a stork was on my head
at 100,at 1:00 i play until i am done
loveflowers,rose are red voilits are blue and i love you too
i love you ,i love you
friends forever,friends are together forever
rice crispy,a crunchy munchy rice crispy is yummy
kittens,i love kittens they're furry and cuddly
angelo,angelo by amaan a smart kid
a pose for a rose,do a pose for a rose
mrsquinn,mrs
kittens,kittens furry
yellow carrot,i have a yellow carrot it wants a parrot
bananas,almost every school day
my tiger,my tiger is so hungry 
pizza pie,pizza pie by amanda droll pizza pizza pizza pie
cat things,you listen you
rain,drip drop
the blue balloon,almost every night
im traped in a squer,i'm traped in a squer
plate and the moon,almost every afternoon
my hair and my eyes,my hair is brown my eyes are blue and black
all about me,amber has two best friends
the best teacher,the best teacher is my teacher
time,it is time to go
once was a lillte turtle,there was a lille turtle
the bee hunt,i saw one tiny bee
the world,i want to see the big map
valentines,roses are red
bee,i cannot see because i got stung by a bee
one little,one little ant
horse,big
the dragon,did i tell you about the dragon
a puppy star,i wake with and go outside 
dolphins,dolphins gentle and smart swim
my bird joy,my blue and gray little parakeet
diamantes,light
tick tock tick tock,tick 
babies,babies are small new things 
butterfly,butterfly
my gelly bean,i eat my gelly bean on bricks
plants,plants and nature trees and seeds all go together
alligator,alligator
school,school
my hamster cuddly,cute and small fast
colors,white as a new baseball
the ruler,the ruler has
bush wacker 2,it's green
the sleeper,when i awoke one morning
sports,baseball
i found a donkey,i found a donkey with a clock it went bock-bock
going away,so thats enough poems today
toy carnatore,my favorite toy is my carnatore
the bunny,the bunny wans all day
the cat,i had a cat it ate a rat so i bought it a hat
paramus 2h,candy i love it 
i like to eat pizza 2d,i like to eat pizza
winter,winter snow
andy,my name is andy and i eat candy
family,family everlasting
friend,faithful rain ideas event nice daughter
lions eagles and boars,the lions roar
halloween,with jacl-o-lanterns glowing and masks gleeing
angels,angels are like firecrackers
the pig who wore a wig,we saw a big pig
dare to dream,choose a wish
easter,when i woke up one morning
getting dressed,you gotta get dressed
my new puppy,i will get the puppy at the mall
chaos,i cause chaos everywhere i go
chaos,i cause chaos everywhere i go
the magic spell,he waves his wand side to side
boo the ghost,boo the ghost who cooed and wooed
juicy pears,juicy pears
ladybugs,i see a bright red ladybug soaring through the sky
candy,candy
emily,emily is my best friend
winter,it's cold but i rolled
how bees buzz,bees buzz like a butterfly
best friends,best friends are like your sisters
my cat,my cat my cat how wonderful can it be
ohthat dog,oh
spring,spring
music,the rain is like music
dog,i love dogs
where are my glasses,she couldn't find her glasses
colors,red is the first color of the rainbow
school,i go to school every day
little worm,the little worm was happy and new
roses,roses are red violets are blue
paramus 2h,i love candy because its sweet
trees,trees bring wind when it's hot
jellybean,jellybean is sweet crunch and small
the stork on my head,when i woke up this morning a stork was on my head
a monkey on my head,when i awoke one morning a monkey was on my head
sarges jim,if you leave me out of sight
twister,twisters are twirly
my cat,she sat on a mat
my dog,he sat on a mat
flower,flower
a tree,a big tree i see
baseball,i hit the ball very hard
tying my shoes,i just can't do it
the airplane,the airplane is high it makes me sigh
hugbug,the sun is shining
the cave,we walk in the hall like a cave
snowstorms,some snow storms are realy bad
things that land on my head,i always wear a cat on my hat
my hair,my hair: my hair is green with yellow spots
i hope you enjoyed,i hope you enjoyed albert einsein
dolphins,dolphins friendly
a song of life,a song of life
exams,exams exams are confusing
can,cans are selver and cans are smail
love,mom
dog love,hairy
ants,ants ants everywhere coming out of little hills
at lunch,almost every lunch i eat pizza
saturn,oh
the bunny,there was a bunny eating a bun
my ladybug,there once was a ladybug &lt;br&gt;with a red mug
food,every afternoon i eat chocolate with a spoon
violets,violets are red
scocrpions,my scocrpions will protect me from my enemies
bananas,banana oh banana how i love you banana
summer is here,in summer i get relly hot
aysia,nice
enormous butterflies,butterflies are flying i am too
what is a tiger,there once was a tiger who had stripes
the cat who sat on my head,when i awoke one morning
2nd graders,2nd graders smart
spring spring is here,bees
a big big apple,there is a big
haiku rain,everthing gets wet
rain,rain rain is very wet
horses,horse black
myohmy,my oh my what a wonderful day
the snow flake,hey snow flake
frog on my bed,when i woke up one morning
i eat poem,almost every afternoon
digimon digimon,digimon
pizza,my favorite food of all
austin,my name is austin
snow,i found three frogs
trees,trees will help you live
if i were a pencil,if i were a pencil
vulture,vulture mean
our soler system,if you ever wonder about planets
4h,i think 4-h is cool
about me,my name is ava
my brother,his hair sticks up like a porcupine
my room,pink is the color of my walls
why i like my cat,i like my cat
me,i'm sweet and funny
the warm sunny day,singing birds
pizza,almost every afternoon
off and away,i wake up in the middle of the night
balloons,i've lost my balloon
cheese pizza,cheese pizza is yummy 
i wish,i wish i had a magic wand
food fight,food is messy
cat,cat
a ribbit and a snake,there once was a rabbit named cake
super man,super man can fly and he can cry
sunshine,the sun is shiney and winey
cats,i like cats they are like bats
elephants,elephants are so cool&lt;br&gt;and hop in a pool
i have a blister from a twister,i have a blister from a twister
the life of a turtle,i walk very slowly
holymoly,as the days go by
thars a horse on my head,when i woke up this morning a horse was on my head
king bee,i see a big yellow black bee
jellybean delight,at 6 every morning i eat a bannasplit
sky,the sky is blue
scary mosters,mostes are pretty scary
cats are cute,i like cats how about?cats are cute
i see a mouse in the house,when i awoke one morning
valentines day,on valentines day
frogs,my frog is quick and he is married to a stick
aquarium,aquariums are amazing
kangaroo,kangaroo
the legendary fire,humungous flames sparkling
hook book,you need a hook to read a book but not to cook
snake,slithering black snake
wing,zooming zapping in the sky
my frog,my frog is green
i like to play,i like school and i like to read
books,book's book's i love book's book's are great 
if i could fly,if i could fly in a house i maybe will see a mouse
my cat,my cat sat on my mat 
the leaf and the sun,the leaf saw the sun and the sun saw the leaf
sr71blackbirdacrostic,surper sonic flier recreationl flier 7
blake,blake is loving always cute keeps clean exciting
my teddy,my teddy is soft
bacon,bacon
the deer on my head,when i awoke one morning
paramus 2h,i like candy because they'er sweet
my weekend,my weekend was great
the cow bow,there once was a cow who took a bow
cats,they are soft
spring,may brings flowers
my color poem,a sweet little fruit
every afternoon,almost every afternoon
jellybeans,almost every afternoon
pancakes,i like pancakes and i like lakes
every night,every night i dim the light when it is to bright
hotdog,hot dog warm
hamburgers,cheesy juicy and delicious big roundish
yellow,yellow is the nice)very hot)sun
a dary night,one night my dad said
the book,hey book
the fat cat,this cat is fat
summer and spring,spring is very fun
flower,my flower had shower then had fun in the sun
the clones,the clones the clones are everywhere
the goalie stick,i am a goalie stick
the funniest poem,almost every afternoon
remember,remember you're family
i love butterflies,i love butterflies
the silly poem,when i awoke one morning
easter bunny,easter bunny your so funny you like honey
green,it is a color in the rainbow
hanukkah,hanukkah a bright
i love stalkings,i love stalkings
what am i,i like to eat grass
trees,tall real ellagent exlent spiritful
teachers,teachers teach until you loose your speech
my best friend gina,she is caring
plants,plants green
cakes,i love cake
you are like the world,you are like the world
silly pup,every morning i wake up
hello,hello
roses,roses are red violets are blue mrs
when i awoke one morning,when i awoke one morning a bear was on my hair
almost everyday,almost everyday
when i woke up in the night,when i woke up one night
silly snake,there once was a snake who sat on a rake
rymes,tad bad
almost every afternoon i eat chicken,almost every afternoon i eat chicken with a spoon
barns,barns are painted red
my eyes,i love my eyes because it mack the sun come oat
stinky stinky diaper change,stinky stinky diaper change
flower,flower
the skateboard 900,the skateboard is the best skateboard ever
gymnastics,gymnastics is my favorite thing
theres something on my door,every morning when i snore in my bed
my feet,myfeet
pie,i like soccer but my sisters a mocker
cows,there once was a cow
about a cook,i meet a cook
the new frog,when i awoke one morning a frog sat on my head
where sound goes,sound comes from some ones mouth
its raining pickles and cats,it's raining pickles and cats
evening,almost every afternoon
funny,funny is funny
my cat,maggie is very nice she's kind to
my dog,i like my dog in the fog on a log
my little kitten,one day one little kitten ate a ton 
